entidad,n_entidad,nivel,insc_t,hom_t,muj_t,egre_hom,egre_muj,egre_tot,docente_h,docente_m,tot_doc,porc_aban_hom,porc_aban_muj,porc_aban_tot,porc_doc_hom,porc_doc_muj,porc_ins_hom,porc_insc_muj
3,baja california sur,preescolar,154723,76791,77932,0,0,0,76,7297,7373,1.0,1.0,1.0,0.010307880103078801,0.9896921198969212,0.49631276539363894,0.503687234606361
3,baja california sur,primaria,497891,253358,244533,0,0,0,6403,13833,20236,1.0,1.0,1.0,0.31641628780391384,0.6835837121960862,0.5088623815252736,0.4911376184747264
3,baja california sur,secundaria,245672,124185,121487,38442,38045,76487,4458,6042,10500,0.6904457060031405,0.6868389210368188,0.688662118597154,0.42457142857142854,0.5754285714285714,0.5054910612524016,0.49450893874759844
4,campeche,inicial,20212,10198,10014,0,0,0,108,910,1018,1.0,1.0,1.0,0.10609037328094302,0.8939096267190569,0.5045517514347913,0.4954482485652088
4,campeche,media superior,232291,116841,115450,28678,31285,59963,11168,8476,19644,0.754555335883808,0.7290168904287571,0.7418625775428234,0.5685196497658318,0.4314803502341682,0.5029940893103908,0.49700591068960914
4,campeche,preescolar,199700,100735,98965,0,0,0,313,9181,9494,1.0,1.0,1.0,0.03296819043606488,0.9670318095639351,0.5044316474712068,0.49556835252879317
4,campeche,primaria,588787,299597,289190,0,0,0,10504,13246,23750,1.0,1.0,1.0,0.4422736842105263,0.5577263157894737,0.5088376611576003,0.49116233884239974
4,campeche,secundaria,271041,138175,132866,40596,40359,80955,5719,6447,12166,0.7061986611181472,0.6962428311230864,0.7013182507443523,0.4700805523590334,0.5299194476409667,0.5097937212451252,0.4902062787548747
5,coahuila de zaragoza,inicial,53308,27420,25888,0,0,0,0,1353,1353,1.0,1.0,1.0,0.0,1.0,0.514369325429579,0.485630674570421
5,coahuila de zaragoza,media superior,790482,385379,405103,112090,132109,244199,34166,36244,70410,0.7091434665614889,0.6738878754292119,0.6910758246234576,0.4852435733560574,0.5147564266439426,0.487524067594202,0.512475932405798
5,coahuila de zaragoza,preescolar,760979,384251,376728,0,0,0,512,28568,29080,1.0,1.0,1.0,0.017606602475928473,0.9823933975240715,0.5049429747732854,0.4950570252267145
5,coahuila de zaragoza,primaria,1994034,1012913,981121,0,0,0,15537,56465,72002,1.0,1.0,1.0,0.21578567262020498,0.784214327379795,0.5079717798192007,0.49202822018079934
5,coahuila de zaragoza,secundaria,934334,470270,464064,143806,145124,288930,17343,26671,44014,0.6942054564399175,0.6872758929802786,0.690763688359837,0.3940337165447358,0.6059662834552643,0.5033210821826027,0.4966789178173972
6,colima,inicial,21115,10858,10257,0,0,0,2,673,675,1.0,1.0,1.0,0.002962962962962963,0.997037037037037,0.5142315889178309,0.48576841108216906
